AT,V,AP,RH,PE_pred
22.49,58.82,1009.73,85.19,445.42
28.88,54.89,1007.16,46.6,440.09
27.89,73.21,1001.32,85.88,433.54
25.69,62.26,1011.38,74.08,443.73
12.16,40.81,1025.79,70.97,465.59
22.72,62.4,1010.28,80.79,445.42
20.6,60.08,1017.84,75.92,450.11
7.51,41.01,1024.61,97.41,476.24
14.28,39.39,1013.82,77.52,469.31
11.68,40.23,1018.49,83.43,475.36
19.89,44.9,1008.12,67.3,454.21
9.44,43.99,1020.31,98.06,472.5
20.76,58.79,1017.22,78.75,450.11
30.0,61.5,1009.4,48.63,438.88
31.38,70.83,1010.35,47.28,433.89
32.95,67.9,1005.88,45.15,432.14
21.01,58.96,1014.33,61.8,450.11
14.56,53.82,1016.37,64.46,463.54
21.11,69.94,1004.37,84.26,443.77
29.73,73.06,1010.27,84.84,432.55
28.28,68.67,1006.36,69.9,434.16
12.31,40.64,1020.71,94.6,473.09
8.05,40.8,1028.01,89.56,480.74
30.35,77.17,1009.55,63.62,433.33
18.12,43.69,1016.91,52.95,468.32
25.23,58.82,1010.9,70.47,443.73
28.38,64.05,1010.19,71.84,440.16
26.63,73.68,1015.15,85.13,432.55
26.78,52.3,1008.52,61.23,439.96
22.69,58.46,1017.74,75.21,445.42
7.49,39.81,1019.03,87.29,482.77
14.08,40.73,1017.52,91.49,465.69
26.11,70.36,1007.64,70.12,439.98
24.26,61.02,1009.78,76.68,442.6
27.44,66.56,1005.51,69.28,434.16
23.17,62.39,1008.04,89.42,443.58
15.27,38.73,1002.83,77.77,466.85
12.1,44.77,1019.1,75.85,470.25
26.73,77.95,1012.31,78.35,434.38
11.49,35.76,1019.08,60.04,472.84
19.64,46.33,1013.33,98.99,454.72
21.12,47.24,1003.79,70.55,454.21
8.03,37.8,1020.47,60.67,484.39
31.18,74.34,1003.81,63.59,434.58
18.15,45.01,1013.06,72.4,454.58
24.14,63.21,1012.28,89.08,442.6
19.1,56.53,1020.18,76.38,455.56
21.27,57.5,1014.53,80.76,449.18
18.2,45.01,1013.82,68.14,454.58
17.8,46.48,1007.27,81.31,456.3
10.59,41.93,1017.7,92.91,477.78
19.69,56.65,1020.79,66.94,457.3
13.41,40.89,1010.85,89.61,471.62
17.37,41.23,998.79,68.44,463.28
14.09,44.47,1029.08,72.36,467.37
26.94,62.91,1011.68,41.3,446.59
31.87,70.94,1006.94,50.78,432.14
20.75,60.77,1017.91,86.06,446.97
12.56,43.41,1016.93,81.02,470.25
11.08,38.16,1014.45,74.99,472.84
23.62,68.63,1013.18,50.57,448.04
27.01,71.25,1000.46,87.95,433.43
19.48,39.72,1001.75,55.41,456.63
21.11,58.49,1011.6,80.44,449.18
29.22,72.39,1000.87,77.39,429.11
22.35,65.61,1016.27,73.93,445.42
10.11,42.49,1010.22,82.11,477.78
25.82,61.08,1013.64,66.4,443.73
17.72,48.14,1013.26,65.09,454.58
19.13,50.78,1008.51,87.54,447.4
29.01,66.44,1011.21,71.56,435.61
16.14,44.21,1020.36,80.59,462.21
14.64,42.77,1017.59,79.6,463.1
23.08,74.78,1009.85,83.67,437.97
13.97,41.16,1020.88,74.88,465.69
16.74,41.16,1006.87,74.24,463.28
22.51,59.21,1018.35,71.97,445.42
13.32,43.22,1009.45,75.3,470.25
19.09,66.51,1015.11,76.38,456.06
19.51,44.05,1008.52,78.38,454.21
31.74,72.25,1012.21,41.62,436.69
13.73,41.78,1011.75,49.65,467.7
19.78,54.42,1011.74,89.34,454.13
21.19,58.86,1014.19,68.96,450.11
5.65,40.72,1022.46,85.17,486.83
17.9,48.98,1014.17,80.4,454.58
18.4,43.69,1016.59,52.44,465.39
17.51,39.54,1010.22,71.53,463.28
6.84,41.06,1021.04,89.59,486.83
11.05,40.71,1024.91,76.42,478.14
17.01,49.15,1021.83,84.02,459.58
29.83,62.66,1007.98,47.07,438.88
21.39,64.27,1011.71,95.39,446.97
8.77,40.46,1019.68,77.84,480.17
6.34,40.64,1020.62,94.39,486.83
26.35,69.48,1008.45,70.47,434.16
11.78,39.96,1011.37,82.95,475.36
5.62,41.38,1020.91,86.21,486.83
24.96,74.99,1008.25,80.52,437.97
9.48,40.8,1023.82,78.98,477.78
